"lon","lat"
-76.1400627,43.0411596
-76.1126714,43.0481612
-76.157435,43.0670379
-76.1468428,43.0231188
-76.137395,43.02532
-76.1165229,43.1647937
-76.191062,43.093858
-76.1433084,43.0282566
-76.1610709,43.0180864
-76.3040965,43.039233
-76.224888,43.188353
-76.070734,43.0476697
-76.0624449,43.0612084
-76.0528187,43.0631731
-76.0707429,43.0639718
-76.0174026,43.0335826
-76.0211654,43.0334783
-76.1804274,43.1221225
-76.2190622,43.129297
-76.2440887,43.1898821
-76.1001625,43.1395736
-76.1387765,43.0607217
-76.1414983,43.0375149
-76.1711738,43.0717962
-76.1711738,43.0717962
-76.1415294,43.0724103
-76.106057,43.068607
-76.1311212,42.9978858
-76.160752,43.04351
-76.1711738,43.0717962
-76.1160733,43.031994
-76.119914,43.0438509
-76.1711738,43.0717962
-76.157085,43.033765
-76.1745471,43.0444457
-76.111934,43.048085
-76.148376,43.014085
-76.274922,43.040148
-76.1935443,43.1000261
-76.1429925,43.0206603
-76.1892974,43.0368081
-76.3267361,43.1590742
-76.1223822,43.1559414
-76.1223822,43.1559414
-76.0662849,43.037541
-76.0183642,43.0358834
-76.1431462,43.1185024
-76.1086405,43.068606
-76.1557623,43.022956
-76.123798,43.0301399
-76.1711738,43.0717962
-76.1937884,43.0310854
-76.1505439,43.0820545
-76.17534,43.064169
-76.1643842,43.0354336
-76.1555854,43.0475021
-76.1557623,43.022956
-76.1482095,43.0742754
-76.1514813,43.0440386
-76.1518544,43.049576
-76.1980588,43.0583769
-76.1970072,43.048304
-76.1458654,43.1041956
-76.148129,43.049093
-76.1420056,43.0533749
-76.1403701,43.0563361
-76.1391136,43.053302
-76.153463,43.002389
-76.197625,43.0570385
-76.1845755,43.0177213
-76.247356,43.099409
-76.09756,43.059753
-76.1625955,43.0261343
-76.1797979,43.0269448
-76.1565777,43.0272656
-76.1040562,43.0764918
-76.309589,43.13331
-76.2913729,43.196806
-76.26147,43.0419174
-76.1256389,43.1495426
-76.200827,43.137789
-76.2177046,43.106456
-76.1744949,43.120914
-76.0825996,42.8676004
-76.4290218,42.9458751
-76.126156,43.048988
-76.1711738,43.0717962
-76.229001,43.044246
-76.155426,43.00464
-76.110303,43.069604
-76.1711738,43.0717962
-76.1968468,43.0310355
-76.11221,43.0448411
-76.135478,42.99119
-76.1667498,43.0489854
-76.1937884,43.0310854
-76.1276954,43.0483662
-76.124536,43.034064
-76.1702144,43.0332037
-76.1480437,43.1036592
